CustomerID,FirstPurchase,LastPurchase,Frequency,Monetary,TotalItems,UniqueProducts,Recency,TenureDays,AvgOrderValue,ItemsPerOrder,R_Score,F_Score,M_Score,RFM_Score,RFM_Segment,Cluster,ClusterName
12371,2011-10-11 10:43:00,2011-10-26 10:16:00,2,1887.96,591,63,45,15,943.98,295.5,3,2,4,9,Big Spenders,0,Big-Ticket Occasionals
12372,2011-02-16 12:46:00,2011-09-29 12:12:00,3,1298.04,794,34,72,225,432.68,264.6666666666667,2,3,3,8,At Risk,0,Big-Ticket Occasionals
12373,2011-02-01 13:10:00,2011-02-01 13:10:00,1,364.6,197,14,311,1,364.6,197.0,1,1,2,4,Hibernating,0,Big-Ticket Occasionals
12374,2011-11-14 15:37:00,2011-11-14 15:37:00,1,742.9300000000001,342,33,25,1,742.9300000000001,342.0,3,1,3,7,Promising,0,Big-Ticket Occasionals
12375,2011-09-02 14:23:00,2011-11-29 10:36:00,2,457.5,178,14,11,88,228.75,89.0,4,2,2,8,Promising,1,Core Growth
12377,2010-12-20 09:37:00,2011-01-28 15:45:00,2,1628.12,944,72,315,40,814.06,472.0,1,2,3,6,At Risk,0,Big-Ticket Occasionals
12378,2011-08-02 10:34:00,2011-08-02 10:34:00,1,4008.62,2529,219,130,1,4008.62,2529.0,2,1,4,7,Big Spenders,0,Big-Ticket Occasionals
12379,2011-06-22 16:32:00,2011-09-19 10:09:00,2,852.24,407,39,82,89,426.12,203.5,2,2,3,7,At Risk,0,Big-Ticket Occasionals
12380,2011-06-07 09:49:00,2011-11-18 11:27:00,4,2724.81,1127,77,22,165,681.2025,281.75,3,3,4,10,Big Spenders,3,Champions
12381,2011-08-12 09:57:00,2011-12-05 12:44:00,5,1845.31,808,70,5,116,369.062,161.6,4,3,4,11,Big Spenders,1,Core Growth
12383,2010-12-22 14:28:00,2011-06-08 08:02:00,5,1850.56,1532,84,185,168,370.11199999999997,306.4,1,3,4,8,At Risk,0,Big-Ticket Occasionals
12384,2011-08-10 11:23:00,2011-11-11 08:39:00,2,585.27,126,26,29,93,292.635,63.0,3,2,2,7,Promising,1,Core Growth
12386,2010-12-08 09:53:00,2011-01-06 12:37:00,2,401.9,354,10,338,30,200.95,177.0,1,2,2,5,Hibernating,0,Big-Ticket Occasionals
12388,2011-01-17 11:12:00,2011-11-24 12:30:00,6,2780.66,1462,57,16,312,463.4433333333333,243.66666666666666,4,4,4,12,Champions,3,Champions
12390,2011-09-21 09:33:00,2011-09-21 09:33:00,1,549.84,353,32,80,1,549.84,353.0,2,1,2,5,Hibernating,0,Big-Ticket Occasionals
12391,2011-11-18 12:07:00,2011-11-18 12:07:00,1,460.89,300,92,22,1,460.89,300.0,3,1,2,6,Promising,0,Big-Ticket Occasionals
12393,2011-01-11 09:47:00,2011-09-28 15:41:00,4,1582.6000000000001,816,47,72,261,395.65000000000003,204.0,2,3,3,8,At Risk,0,Big-Ticket Occasionals
12394,2011-05-06 14:01:00,2011-10-07 08:08:00,2,1272.48,819,26,64,154,636.24,409.5,2,2,3,7,At Risk,0,Big-Ticket Occasionals
12395,2010-12-03 16:35:00,2011-11-20 15:21:00,12,3018.63,2118,91,19,352,251.5525,176.5,3,4,4,11,Loyal Customers,3,Champions
12397,2011-07-27 14:21:00,2011-11-04 09:52:00,2,2409.9,1263,110,36,100,1204.95,631.5,3,2,4,9,Big Spenders,0,Big-Ticket Occasionals
12398,2011-10-25 10:27:00,2011-10-25 10:27:00,1,1635.6599999999999,1394,85,46,1,1635.6599999999999,1394.0,3,1,3,7,Promising,0,Big-Ticket Occasionals
12399,2011-03-23 09:42:00,2011-08-12 13:15:00,4,1108.65,1178,47,119,143,277.1625,294.5,2,3,3,8,At Risk,0,Big-Ticket Occasionals
12401,2011-02-09 13:50:00,2011-02-09 13:50:00,1,84.3,11,5,303,1,84.3,11.0,1,1,1,3,Hibernating,2,Hibernating
12402,2011-01-20 13:49:00,2011-01-20 13:49:00,1,225.6,94,11,323,1,225.6,94.0,1,1,1,3,Hibernating,2,Hibernating
12403,2011-10-21 10:51:00,2011-10-21 10:51:00,1,427.7,96,5,50,1,427.7,96.0,3,1,2,6,Promising,0,Big-Ticket Occasionals
12405,2011-07-14 08:52:00,2011-07-14 08:52:00,1,1710.39,857,54,149,1,1710.39,857.0,1,1,4,6,At Risk,0,Big-Ticket Occasionals
12406,2011-06-09 10:23:00,2011-11-17 19:22:00,2,3415.3,1818,92,22,162,1707.65,909.0,3,2,4,9,Big Spenders,3,Champions
12407,2011-03-20 13:21:00,2011-10-21 10:11:00,5,1708.1200000000001,1416,57,50,215,341.624,283.2,3,3,4,10,Big Spenders,1,Core Growth
12408,2011-03-24 14:46:00,2011-11-07 12:27:00,5,2888.55,1409,81,33,228,577.71,281.8,3,3,4,10,Big Spenders,3,Champions
12409,2011-06-10 12:19:00,2011-09-22 10:38:00,3,11072.67,5551,91,79,104,3690.89,1850.3333333333333,2,3,4,9,Big Spenders,3,Champions
12410,2011-02-04 10:38:00,2011-02-04 10:39:00,2,693.3299999999999,211,26,309,1,346.66499999999996,105.5,1,2,3,6,At Risk,0,Big-Ticket Occasionals
12412,2011-06-23 13:51:00,2011-09-26 10:16:00,3,1226.88,829,43,75,95,408.96000000000004,276.3333333333333,2,3,3,8,At Risk,0,Big-Ticket Occasionals
12413,2011-01-06 16:12:00,2011-10-04 09:00:00,3,758.1,286,29,67,271,252.70000000000002,95.33333333333333,2,3,3,8,At Risk,1,Core Growth
12414,2011-02-02 14:51:00,2011-05-06 14:51:00,3,562.41,300,16,217,94,187.47,100.0,1,3,2,6,At Risk,0,Big-Ticket Occasionals
12415,2011-01-06 11:12:00,2011-11-15 14:22:00,21,124914.53,77374,444,24,314,5948.310952380953,3684.4761904761904,3,4,4,11,Loyal Customers,3,Champions
12417,2010-12-17 11:51:00,2011-12-06 14:52:00,9,3649.1,1552,158,3,355,405.4555555555555,172.44444444444446,4,4,4,12,Champions,3,Champions
12418,2011-08-19 11:08:00,2011-08-19 11:08:00,1,668.58,407,34,113,1,668.58,407.0,2,1,2,5,Hibernating,0,Big-Ticket Occasionals
12420,2011-10-07 08:55:00,2011-10-07 08:55:00,1,600.39,345,29,64,1,600.39,345.0,2,1,2,5,Hibernating,0,Big-Ticket Occasionals
12421,2011-01-24 15:09:00,2011-11-24 09:07:00,4,807.04,484,32,16,304,201.76,121.0,4,3,3,10,Hibernating,1,Core Growth
12422,2011-01-19 09:13:00,2011-09-05 09:48:00,3,803.5600000000001,370,39,96,230,267.85333333333335,123.33333333333333,2,3,3,8,At Risk,0,Big-Ticket Occasionals
12423,2010-12-21 10:54:00,2011-12-09 10:10:00,8,1859.31,1339,97,1,353,232.41375,167.375,4,4,4,12,Champions,3,Champions
12424,2011-06-30 12:06:00,2011-06-30 12:06:00,2,1760.96,740,30,163,1,880.48,370.0,1,2,4,7,At Risk,0,Big-Ticket Occasionals
12425,2011-09-22 17:31:00,2011-09-22 17:31:00,1,777.2,496,36,78,1,777.2,496.0,2,1,3,6,At Risk,0,Big-Ticket Occasionals
12426,2011-05-29 12:26:00,2011-05-29 12:26:00,1,582.73,258,30,195,1,582.73,258.0,1,1,2,4,Hibernating,0,Big-Ticket Occasionals
12427,2010-12-03 10:44:00,2011-11-18 08:56:00,3,825.8,533,26,22,350,275.26666666666665,177.66666666666666,3,3,3,9,Hibernating,1,Core Growth
12428,2011-03-01 09:33:00,2011-11-14 08:22:00,9,7956.46,3536,258,26,258,884.0511111111111,392.8888888888889,3,4,4,11,Loyal Customers,3,Champions
12429,2010-12-09 12:05:00,2011-11-30 17:22:00,4,3750.4,1557,82,9,357,937.6,389.25,4,3,4,11,Big Spenders,3,Champions
12430,2011-10-27 15:09:00,2011-10-27 15:09:00,1,256.4,117,11,43,1,256.4,117.0,3,1,1,5,Promising,2,Hibernating
12431,2010-12-01 10:03:00,2011-11-04 11:55:00,15,6487.45,2906,163,36,339,432.49666666666667,193.73333333333332,3,4,4,11,Loyal Customers,3,Champions
12432,2011-06-20 13:27:00,2011-10-28 11:43:00,5,5059.32,1801,107,43,130,1011.8639999999999,360.2,3,3,4,10,Big Spenders,3,Champions
12433,2010-12-01 13:24:00,2011-12-09 10:02:00,7,13375.87,11071,219,1,373,1910.8385714285716,1581.5714285714287,4,4,4,12,Champions,3,Champions
12434,2011-03-24 13:05:00,2011-09-16 12:38:00,2,806.14,394,46,85,176,403.07,197.0,2,2,3,7,At Risk,0,Big-Ticket Occasionals
12435,2011-03-17 07:40:00,2011-09-21 09:06:00,2,7829.89,2055,31,80,189,3914.945,1027.5,2,2,4,8,Big Spenders,0,Big-Ticket Occasionals
12436,2011-09-01 12:09:00,2011-09-01 12:09:00,1,509.01,211,16,100,1,509.01,211.0,2,1,2,5,Hibernating,0,Big-Ticket Occasionals
12437,2011-01-12 14:13:00,2011-12-08 11:35:00,18,4951.41,2922,118,2,330,275.0783333333333,162.33333333333334,4,4,4,12,Champions,3,Champions
12438,2011-07-22 13:29:00,2011-11-25 13:28:00,2,2906.85,1180,84,14,126,1453.425,590.0,4,2,4,10,Big Spenders,3,Champions
12441,2010-12-08 10:45:00,2010-12-08 10:45:00,1,173.55,121,11,367,1,173.55,121.0,1,1,1,3,Hibernating,2,Hibernating
12442,2011-12-06 14:22:00,2011-12-06 14:22:00,1,172.06,182,12,3,1,172.06,182.0,4,1,1,6,Promising,1,Core Growth
12444,2011-06-21 14:00:00,2011-11-18 13:23:00,5,5005.46,1153,138,21,150,1001.092,230.6,3,3,4,10,Big Spenders,3,Champions
12445,2011-11-17 18:43:00,2011-11-17 18:43:00,1,133.4,62,4,22,1,133.4,62.0,3,1,1,5,Promising,2,Hibernating
12446,2011-10-13 12:50:00,2011-10-13 12:50:00,1,1002.3100000000001,351,57,58,1,1002.3100000000001,351.0,2,1,3,6,At Risk,0,Big-Ticket Occasionals
12447,2011-04-10 13:25:00,2011-04-10 13:25:00,1,476.49,190,26,243,1,476.49,190.0,1,1,2,4,Hibernating,0,Big-Ticket Occasionals
12448,2011-10-26 13:46:00,2011-10-26 13:46:00,1,449.45,243,22,44,1,449.45,243.0,3,1,2,6,Promising,0,Big-Ticket Occasionals
12449,2011-06-05 15:37:00,2011-11-17 13:46:00,4,4067.29,1553,118,22,165,1016.8225,388.25,3,3,4,10,Big Spenders,3,Champions
12450,2011-06-19 14:36:00,2011-07-06 14:41:00,2,197.88,128,7,156,18,98.94,64.0,1,2,1,4,Hibernating,2,Hibernating
12451,2011-01-19 09:05:00,2011-11-29 08:40:00,5,9035.52,6575,265,11,314,1807.104,1315.0,4,3,4,11,Big Spenders,3,Champions
12452,2011-11-23 08:05:00,2011-11-23 10:28:00,2,430.57,185,21,17,1,215.285,92.5,4,2,2,8,Promising,1,Core Growth
12453,2011-07-28 14:08:00,2011-07-28 14:08:00,1,707.09,473,43,134,1,707.09,473.0,2,1,3,6,At Risk,0,Big-Ticket Occasionals
12454,2011-10-14 17:13:00,2011-10-14 17:13:00,1,3528.34,1006,15,56,1,3528.34,1006.0,2,1,4,7,Big Spenders,0,Big-Ticket Occasionals
12455,2011-02-16 09:56:00,2011-09-27 15:31:00,6,2466.86,2089,85,73,224,411.1433333333334,348.1666666666667,2,4,4,10,Loyal Customers,3,Champions
12456,2011-03-30 09:12:00,2011-10-26 14:41:00,3,3181.04,1633,105,44,211,1060.3466666666666,544.3333333333334,3,3,4,10,Big Spenders,3,Champions
12457,2011-04-14 18:57:00,2011-10-04 13:13:00,7,2363.23,843,53,66,173,337.6042857142857,120.42857142857143,2,4,4,10,Loyal Customers,3,Champions
12458,2011-02-28 10:55:00,2011-09-29 15:25:00,2,947.4,506,35,71,214,473.7,253.0,2,2,3,7,At Risk,0,Big-Ticket Occasionals
12461,2011-07-08 10:23:00,2011-09-06 16:57:00,2,826.88,287,35,94,61,413.44,143.5,2,2,3,7,At Risk,0,Big-Ticket Occasionals
12462,2011-02-09 14:44:00,2011-11-21 09:11:00,2,1189.59,536,51,19,285,594.795,268.0,3,2,3,8,Promising,1,Core Growth
12463,2011-04-12 12:47:00,2011-10-17 13:44:00,4,1344.78,776,65,53,189,336.195,194.0,2,3,3,8,At Risk,1,Core Growth
12464,2011-02-03 13:30:00,2011-11-29 13:33:00,8,1212.05,112,6,10,300,151.50625,14.0,4,4,3,11,Loyal Customers,1,Core Growth
12465,2011-06-23 13:37:00,2011-11-22 16:34:00,2,742.1899999999999,479,46,17,153,371.09499999999997,239.5,4,2,3,9,Promising,1,Core Growth
12468,2011-01-27 13:29:00,2011-06-05 11:36:00,2,729.5400000000001,366,36,188,129,364.77000000000004,183.0,1,2,3,6,At Risk,0,Big-Ticket Occasionals
12471,2010-12-10 09:35:00,2011-12-07 15:43:00,30,19824.05,8212,150,2,363,660.8016666666666,273.73333333333335,4,4,4,12,Champions,3,Champions
12472,2010-12-05 14:19:00,2011-11-07 14:01:00,7,6572.11,4148,219,32,337,938.8728571428571,592.5714285714286,3,4,4,11,Loyal Customers,3,Champions
12473,2011-06-01 10:15:00,2011-11-10 13:46:00,5,3938.5499999999997,2439,140,29,163,787.7099999999999,487.8,3,3,4,10,Big Spenders,3,Champions
12474,2011-01-14 10:06:00,2011-11-22 14:39:00,18,7375.79,4847,253,17,313,409.7661111111111,269.27777777777777,4,4,4,12,Champions,3,Champions
12475,2011-10-17 10:10:00,2011-10-17 10:10:00,1,723.38,535,36,54,1,723.38,535.0,2,1,3,6,At Risk,0,Big-Ticket Occasionals
12476,2010-12-13 14:39:00,2011-11-24 12:40:00,11,6816.42,2408,177,16,346,619.6745454545454,218.9090909090909,4,4,4,12,Champions,3,Champions
12477,2011-02-11 12:45:00,2011-11-17 09:51:00,6,13219.74,3653,191,23,279,2203.29,608.8333333333334,3,4,4,11,Loyal Customers,3,Champions
12478,2011-12-06 09:56:00,2011-12-06 09:56:00,1,680.99,236,36,4,1,680.99,236.0,4,1,3,8,Promising,1,Core Growth
12479,2011-11-28 13:26:00,2011-11-28 13:26:00,1,527.2,385,31,11,1,527.2,385.0,4,1,2,7,Promising,1,Core Growth
12480,2011-01-07 15:27:00,2011-11-11 14:52:00,4,3281.63,1707,129,28,308,820.4075,426.75,3,3,4,10,Big Spenders,3,Champions
12481,2010-12-09 10:13:00,2011-11-17 08:29:00,10,5596.32,3304,150,23,343,559.632,330.4,3,4,4,11,Loyal Customers,3,Champions
12483,2011-01-04 14:20:00,2011-11-22 17:02:00,8,2484.98,1110,46,17,323,310.6225,138.75,4,4,4,12,Champions,3,Champions
12484,2011-01-07 14:04:00,2011-11-07 11:37:00,6,4541.72,2191,256,33,304,756.9533333333334,365.1666666666667,3,4,4,11,Loyal Customers,3,Champions
12488,2011-09-25 10:34:00,2011-11-30 08:50:00,3,1298.66,529,46,10,66,432.8866666666667,176.33333333333334,4,3,3,10,Hibernating,1,Core Growth
12489,2011-01-07 13:13:00,2011-01-07 13:13:00,1,334.93,105,15,336,1,334.93,105.0,1,1,2,4,Hibernating,0,Big-Ticket Occasionals
12490,2011-01-14 09:13:00,2011-12-04 16:07:00,10,5417.93,3064,131,5,325,541.793,306.4,4,4,4,12,Champions,3,Champions
12491,2011-11-01 12:18:00,2011-11-01 12:18:00,1,460.40000000000003,260,25,39,1,460.40000000000003,260.0,3,1,2,6,Promising,0,Big-Ticket Occasionals
12492,2011-08-26 14:51:00,2011-10-07 15:15:00,2,263.21000000000004,192,19,63,43,131.60500000000002,96.0,2,2,1,5,Hibernating,2,Hibernating
12493,2011-05-26 14:53:00,2011-06-27 10:17:00,2,433.74,207,20,166,32,216.87,103.5,1,2,2,5,Hibernating,0,Big-Ticket Occasionals
12494,2010-12-09 11:31:00,2011-11-24 09:34:00,7,1246.1000000000001,707,63,16,350,178.01428571428573,101.0,4,4,3,11,Loyal Customers,1,Core Growth
12497,2011-09-19 12:29:00,2011-09-19 12:29:00,1,1043.1,1236,14,82,1,1043.1,1236.0,2,1,3,6,At Risk,0,Big-Ticket Occasionals
12498,2011-10-13 09:30:00,2011-11-18 12:53:00,3,403.70000000000005,159,21,21,37,134.5666666666667,53.0,3,3,2,8,Hibernating,1,Core Growth
12500,2011-01-10 09:48:00,2011-11-16 16:20:00,11,4257.82,2678,34,23,311,387.07454545454544,243.45454545454547,3,4,4,11,Loyal Customers,3,Champions
12501,2011-01-07 12:28:00,2011-01-07 12:28:00,1,2169.39,1783,149,337,1,2169.39,1783.0,1,1,4,6,At Risk,0,Big-Ticket Occasionals
12502,2011-02-03 10:41:00,2011-09-05 11:52:00,5,3723.87,820,102,96,215,744.774,164.0,2,3,4,9,Big Spenders,0,Big-Ticket Occasionals
12504,2011-11-09 14:56:00,2011-11-21 16:02:00,2,482.04999999999995,90,6,18,13,241.02499999999998,45.0,4,2,2,8,Promising,1,Core Growth
12506,2011-04-21 08:54:00,2011-04-21 08:54:00,1,73.5,23,23,233,1,73.5,23.0,1,1,1,3,Hibernating,2,Hibernating
12507,2011-02-14 09:24:00,2011-07-28 17:09:00,3,1304.81,894,19,134,165,434.93666666666667,298.0,2,3,3,8,At Risk,0,Big-Ticket Occasionals
12508,2011-11-10 16:27:00,2011-11-13 15:37:00,2,398.27,272,57,26,3,199.135,136.0,3,2,2,7,Promising,1,Core Growth
12509,2011-02-28 14:45:00,2011-02-28 14:45:00,1,176.5,55,7,284,1,176.5,55.0,1,1,1,3,Hibernating,2,Hibernating
12510,2011-01-18 14:04:00,2011-07-20 10:15:00,2,982.5699999999999,353,29,143,183,491.28499999999997,176.5,1,2,3,6,At Risk,0,Big-Ticket Occasionals
12512,2011-10-04 14:53:00,2011-10-04 14:55:00,2,138.03,99,31,66,1,69.015,49.5,2,2,1,5,Hibernating,2,Hibernating
12513,2011-08-19 10:51:00,2011-08-19 10:51:00,1,612.29,462,35,113,1,612.29,462.0,2,1,2,5,Hibernating,0,Big-Ticket Occasionals
12514,2011-03-17 16:38:00,2011-03-17 16:38:00,1,1017.68,440,51,267,1,1017.68,440.0,1,1,3,5,At Risk,0,Big-Ticket Occasionals
12515,2010-12-21 15:43:00,2010-12-21 15:43:00,1,383.7,131,16,353,1,383.7,131.0,1,1,2,4,Hibernating,0,Big-Ticket Occasionals
12516,2011-06-12 11:37:00,2011-09-23 09:13:00,2,1312.06,875,20,78,103,656.03,437.5,2,2,3,7,At Risk,0,Big-Ticket Occasionals
12517,2011-06-02 15:13:00,2011-11-11 14:04:00,5,2502.84,1371,232,28,162,500.56800000000004,274.2,3,3,4,10,Big Spenders,3,Champions
12518,2011-08-21 13:18:00,2011-12-09 10:13:00,5,2056.89,1318,84,1,110,411.378,263.6,4,3,4,11,Big Spenders,3,Champions
12519,2011-10-07 09:26:00,2011-10-07 09:26:00,1,340.84,183,17,64,1,340.84,183.0,2,1,2,5,Hibernating,0,Big-Ticket Occasionals
12520,2011-03-11 11:35:00,2011-09-21 15:23:00,5,2634.26,1439,121,79,195,526.8520000000001,287.8,2,3,4,9,Big Spenders,3,Champions
12521,2011-07-20 10:51:00,2011-07-20 10:51:00,1,599.68,309,38,143,1,599.68,309.0,1,1,2,4,Hibernating,0,Big-Ticket Occasionals
12522,2011-10-19 14:41:00,2011-10-31 15:30:00,2,192.72,194,11,39,13,96.36,97.0,3,2,1,6,Promising,2,Hibernating
12523,2011-01-12 09:43:00,2011-11-20 12:55:00,11,1789.77,865,84,19,313,162.70636363636365,78.63636363636364,3,4,4,11,Loyal Customers,1,Core Growth
12524,2011-01-10 10:35:00,2011-11-30 15:31:00,8,4485.72,3699,113,9,325,560.715,462.375,4,4,4,12,Champions,3,Champions
12526,2011-09-06 14:19:00,2011-12-09 12:09:00,3,1316.66,632,64,1,94,438.8866666666667,210.66666666666666,4,3,3,10,Hibernating,1,Core Growth
12527,2011-01-18 12:05:00,2011-09-19 11:55:00,3,348.71000000000004,234,18,82,244,116.23666666666668,78.0,2,3,2,7,At Risk,2,Hibernating
12528,2011-01-31 09:05:00,2011-11-30 14:40:00,6,1933.48,756,50,9,304,322.24666666666667,126.0,4,4,4,12,Champions,1,Core Growth
12530,2011-01-07 10:04:00,2011-10-11 12:34:00,4,1662.28,913,51,60,278,415.57,228.25,2,3,4,9,Big Spenders,0,Big-Ticket Occasionals
12531,2011-11-25 11:12:00,2011-11-25 11:12:00,1,125.22,45,17,15,1,125.22,45.0,4,1,1,6,Promising,2,Hibernating
12532,2011-11-09 13:47:00,2011-11-09 13:47:00,1,349.83000000000004,153,16,30,1,349.83000000000004,153.0,3,1,2,6,Promising,0,Big-Ticket Occasionals
12534,2011-08-01 10:26:00,2011-08-01 10:26:00,1,1089.18,651,63,131,1,1089.18,651.0,2,1,3,6,At Risk,0,Big-Ticket Occasionals
12535,2011-06-06 12:47:00,2011-09-09 08:48:00,2,716.35,219,28,92,95,358.175,109.5,2,2,3,7,At Risk,0,Big-Ticket Occasionals
12536,2011-10-11 14:52:00,2011-10-27 14:20:00,3,12601.830000000002,2803,260,43,16,4200.610000000001,934.3333333333334,3,3,4,10,Big Spenders,3,Champions
12538,2011-11-10 17:16:00,2011-11-10 17:16:00,1,363.95,191,21,29,1,363.95,191.0,3,1,2,6,Promising,0,Big-Ticket Occasionals
12539,2011-01-10 09:11:00,2011-11-17 13:30:00,4,5568.35,2067,157,22,312,1392.0875,516.75,3,3,4,10,Big Spenders,3,Champions
12540,2010-12-13 09:39:00,2011-11-20 11:31:00,17,13400.24,6685,277,20,343,788.2494117647059,393.2352941176471,3,4,4,11,Loyal Customers,3,Champions
12541,2011-03-04 09:32:00,2011-11-10 10:40:00,3,981.18,680,46,30,252,327.06,226.66666666666666,3,3,3,9,Hibernating,1,Core Growth
12544,2011-11-03 16:15:00,2011-11-03 16:15:00,1,372.7,136,19,36,1,372.7,136.0,3,1,2,6,Promising,0,Big-Ticket Occasionals
12545,2011-03-25 12:04:00,2011-09-25 13:39:00,2,1000.39,523,42,75,185,500.195,261.5,2,2,3,7,At Risk,0,Big-Ticket Occasionals
12546,2011-09-23 09:44:00,2011-10-24 12:09:00,2,1161.5,633,59,47,32,580.75,316.5,3,2,3,8,Promising,0,Big-Ticket Occasionals
12547,2011-03-04 12:46:00,2011-05-26 12:38:00,2,207.79999999999998,134,7,198,83,103.89999999999999,67.0,1,2,1,4,Hibernating,2,Hibernating
12548,2011-06-26 15:35:00,2011-06-26 15:35:00,1,95.19999999999999,49,5,166,1,95.19999999999999,49.0,1,1,1,3,Hibernating,2,Hibernating
12550,2011-09-21 14:35:00,2011-09-21 14:35:00,1,964.83,569,57,79,1,964.83,569.0,2,1,3,6,At Risk,0,Big-Ticket Occasionals
12551,2010-12-17 11:23:00,2010-12-17 11:23:00,1,168.0,100,10,358,1,168.0,100.0,1,1,1,3,Hibernating,2,Hibernating
12552,2011-10-31 12:11:00,2011-11-01 10:02:00,2,437.82,88,20,39,1,218.91,44.0,3,2,2,7,Promising,2,Hibernating
12553,2011-01-14 10:42:00,2011-12-01 16:38:00,10,3692.28,1965,95,8,322,369.228,196.5,4,4,4,12,Champions,3,Champions
12556,2011-07-11 13:35:00,2011-10-20 13:06:00,2,603.71,358,100,50,101,301.855,179.0,3,2,2,7,Promising,0,Big-Ticket Occasionals
12557,2010-12-03 12:20:00,2011-11-23 16:59:00,5,11990.960000000001,4384,15,16,356,2398.192,876.8,4,3,4,11,Big Spenders,3,Champions
12558,2011-12-02 10:41:00,2011-12-02 10:41:00,1,269.96,196,11,8,1,269.96,196.0,4,1,1,6,Promising,1,Core Growth
12559,2011-01-24 10:12:00,2011-02-02 09:49:00,2,561.71,283,21,311,9,280.855,141.5,1,2,2,5,Hibernating,0,Big-Ticket Occasionals
12560,2011-07-19 15:55:00,2011-12-04 13:54:00,3,2134.01,1110,91,5,138,711.3366666666667,370.0,4,3,4,11,Big Spenders,3,Champions
12561,2011-02-10 11:39:00,2011-02-10 11:39:00,1,238.85,177,16,303,1,238.85,177.0,1,1,1,3,Hibernating,2,Hibernating
12562,2011-05-25 12:44:00,2011-12-01 17:20:00,7,3781.7400000000002,1779,99,8,191,540.2485714285715,254.14285714285714,4,4,4,12,Champions,3,Champions
12564,2011-03-23 14:55:00,2011-03-23 14:55:00,1,456.9,133,21,261,1,456.9,133.0,1,1,2,4,Hibernating,0,Big-Ticket Occasionals
